verb,noun,allowed
adjust,M4_nut,0
adjust,M6_nut,0
adjust,adapter_plate,0
adjust,anti_vibration_handle,1
adjust,bearing_plate,1
adjust,bevel_gear,0
adjust,combination_wrench,0
adjust,drive_shaft,1
adjust,flat_head_screwdriver,0
adjust,gearbox_housing,0
adjust,gearbox_housing_drive_shaft,0
adjust,lever,0
adjust,phillips_screwdriver,0
adjust,screw,0
adjust,spring,0
adjust,tool,0
adjust,torx_screwdriver,0
adjust,washer,0
align,M4_nut,1
align,M6_nut,1
align,adapter_plate,0
align,anti_vibration_handle,0
align,bearing_plate,0
align,bevel_gear,0
align,combination_wrench,0
align,drive_shaft,0
align,flat_head_screwdriver,0
align,gearbox_housing,0
align,gearbox_housing_drive_shaft,0
align,lever,1
align,phillips_screwdriver,0
align,screw,1
align,spring,0
align,tool,1
align,torx_screwdriver,0
align,washer,0
attach,M4_nut,0
attach,M6_nut,0
attach,adapter_plate,0
attach,anti_vibration_handle,0
attach,bearing_plate,0
attach,bevel_gear,0
attach,combination_wrench,0
attach,drive_shaft,0
attach,flat_head_screwdriver,0
attach,gearbox_housing,0
attach,gearbox_housing_drive_shaft,0
attach,lever,1
attach,phillips_screwdriver,0
attach,screw,1
attach,spring,1
attach,tool,0
attach,torx_screwdriver,0
attach,washer,0
detach,M4_nut,0
detach,M6_nut,0
detach,adapter_plate,0
detach,anti_vibration_handle,0
detach,bearing_plate,0
detach,bevel_gear,0
detach,combination_wrench,0
detach,drive_shaft,0
detach,flat_head_screwdriver,0
detach,gearbox_housing,0
detach,gearbox_housing_drive_shaft,0
detach,lever,1
detach,phillips_screwdriver,0
detach,screw,0
detach,spring,1
detach,tool,0
detach,torx_screwdriver,0
detach,washer,0
dismount,M4_nut,0
dismount,M6_nut,0
dismount,adapter_plate,1
dismount,anti_vibration_handle,1
dismount,bearing_plate,0
dismount,bevel_gear,0
dismount,combination_wrench,0
dismount,drive_shaft,0
dismount,flat_head_screwdriver,0
dismount,gearbox_housing,1
dismount,gearbox_housing_drive_shaft,0
dismount,lever,0
dismount,phillips_screwdriver,0
dismount,screw,0
dismount,spring,0
dismount,tool,0
dismount,torx_screwdriver,0
dismount,washer,0
extract,M4_nut,0
extract,M6_nut,0
extract,adapter_plate,0
extract,anti_vibration_handle,0
extract,bearing_plate,1
extract,bevel_gear,1
extract,combination_wrench,0
extract,drive_shaft,1
extract,flat_head_screwdriver,0
extract,gearbox_housing,0
extract,gearbox_housing_drive_shaft,0
extract,lever,0
extract,phillips_screwdriver,0
extract,screw,0
extract,spring,0
extract,tool,0
extract,torx_screwdriver,0
extract,washer,0
flip,M4_nut,0
flip,M6_nut,0
flip,adapter_plate,1
flip,anti_vibration_handle,0
flip,bearing_plate,1
flip,bevel_gear,0
flip,combination_wrench,0
flip,drive_shaft,0
flip,flat_head_screwdriver,0
flip,gearbox_housing,1
flip,gearbox_housing_drive_shaft,1
flip,lever,1
flip,phillips_screwdriver,0
flip,screw,0
flip,spring,0
flip,tool,0
flip,torx_screwdriver,0
flip,washer,0
hand_loosen,M4_nut,1
hand_loosen,M6_nut,1
hand_loosen,adapter_plate,0
hand_loosen,anti_vibration_handle,1
hand_loosen,bearing_plate,0
hand_loosen,bevel_gear,0
hand_loosen,combination_wrench,0
hand_loosen,drive_shaft,0
hand_loosen,flat_head_screwdriver,0
hand_loosen,gearbox_housing,0
hand_loosen,gearbox_housing_drive_shaft,0
hand_loosen,lever,0
hand_loosen,phillips_screwdriver,0
hand_loosen,screw,1
hand_loosen,spring,0
hand_loosen,tool,0
hand_loosen,torx_screwdriver,0
hand_loosen,washer,0
hand_spin,M4_nut,0
hand_spin,M6_nut,0
hand_spin,adapter_plate,0
hand_spin,anti_vibration_handle,0
hand_spin,bearing_plate,0
hand_spin,bevel_gear,0
hand_spin,combination_wrench,0
hand_spin,drive_shaft,1
hand_spin,flat_head_screwdriver,0
hand_spin,gearbox_housing,0
hand_spin,gearbox_housing_drive_shaft,0
hand_spin,lever,0
hand_spin,phillips_screwdriver,0
hand_spin,screw,0
hand_spin,spring,0
hand_spin,tool,0
hand_spin,torx_screwdriver,0
hand_spin,washer,0
hand_tighten,M4_nut,1
hand_tighten,M6_nut,1
hand_tighten,adapter_plate,0
hand_tighten,anti_vibration_handle,1
hand_tighten,bearing_plate,0
hand_tighten,bevel_gear,0
hand_tighten,combination_wrench,0
hand_tighten,drive_shaft,0
hand_tighten,flat_head_screwdriver,0
hand_tighten,gearbox_housing,0
hand_tighten,gearbox_housing_drive_shaft,0
hand_tighten,lever,0
hand_tighten,phillips_screwdriver,0
hand_tighten,screw,1
hand_tighten,spring,0
hand_tighten,tool,0
hand_tighten,torx_screwdriver,0
hand_tighten,washer,0
hold,M4_nut,1
hold,M6_nut,1
hold,adapter_plate,1
hold,anti_vibration_handle,1
hold,bearing_plate,1
hold,bevel_gear,1
hold,combination_wrench,1
hold,drive_shaft,1
hold,flat_head_screwdriver,0
hold,gearbox_housing,1
hold,gearbox_housing_drive_shaft,1
hold,lever,1
hold,phillips_screwdriver,1
hold,screw,1
hold,spring,1
hold,tool,0
hold,torx_screwdriver,1
hold,washer,1
insert,M4_nut,0
insert,M6_nut,1
insert,adapter_plate,0
insert,anti_vibration_handle,0
insert,bearing_plate,0
insert,bevel_gear,1
insert,combination_wrench,0
insert,drive_shaft,1
insert,flat_head_screwdriver,0
insert,gearbox_housing,0
insert,gearbox_housing_drive_shaft,0
insert,lever,0
insert,phillips_screwdriver,0
insert,screw,1
insert,spring,0
insert,tool,0
insert,torx_screwdriver,0
insert,washer,0
loosen,M4_nut,1
loosen,M6_nut,1
loosen,adapter_plate,0
loosen,anti_vibration_handle,0
loosen,bearing_plate,0
loosen,bevel_gear,0
loosen,combination_wrench,0
loosen,drive_shaft,0
loosen,flat_head_screwdriver,0
loosen,gearbox_housing,0
loosen,gearbox_housing_drive_shaft,0
loosen,lever,0
loosen,phillips_screwdriver,0
loosen,screw,1
loosen,spring,0
loosen,tool,0
loosen,torx_screwdriver,0
loosen,washer,0
mount,M4_nut,0
mount,M6_nut,0
mount,adapter_plate,1
mount,anti_vibration_handle,1
mount,bearing_plate,0
mount,bevel_gear,0
mount,combination_wrench,0
mount,drive_shaft,0
mount,flat_head_screwdriver,0
mount,gearbox_housing,0
mount,gearbox_housing_drive_shaft,0
mount,lever,0
mount,phillips_screwdriver,0
mount,screw,0
mount,spring,0
mount,tool,0
mount,torx_screwdriver,0
mount,washer,0
pick_up,M4_nut,1
pick_up,M6_nut,1
pick_up,adapter_plate,1
pick_up,anti_vibration_handle,1
pick_up,bearing_plate,1
pick_up,bevel_gear,1
